max_clusters,number_of_sentences,metric,average_precision,average_recall,f1,std_precision,std_recall,m_a_p
2,3,cosine,0.4535044868844112,0.4490122656457825,0.4512471963886014,0.11026095537634974,0.1742746500049819,0.6460688457769233
2,3,euclidean,0.4535044868844112,0.4490122656457825,0.4512471963886014,0.11026095537634974,0.1742746500049819,0.6460688457769233
2,5,cosine,0.45706039128553116,0.6331704140753065,0.5308914695579503,0.08536881777383916,0.19292256707306304,0.5613921300024358
2,5,euclidean,0.45706039128553116,0.6331704140753065,0.5308914695579503,0.08536881777383916,0.19292256707306304,0.5613921300024358
2,7,cosine,0.46989810234125934,0.7688893063962621,0.5833117505679202,0.070187441882926,0.19012846244689663,0.4923519967797284
2,7,euclidean,0.46989810234125934,0.7688893063962621,0.5833117505679202,0.070187441882926,0.19012846244689663,0.4923519967797284
2,9,cosine,0.47565619016824295,0.8434369730284671,0.6082754856609455,0.06393898859240019,0.16330122968699975,0.4724075308558207
2,9,euclidean,0.47565619016824295,0.8434369730284671,0.6082754856609455,0.06393898859240019,0.16330122968699975,0.4724075308558207
2,11,cosine,0.47821005697065233,0.880749163515656,0.6198612898935325,0.0635916891905654,0.13478407258699238,0.3988723247332433
2,11,euclidean,0.47821005697065233,0.880749163515656,0.6198612898935325,0.0635916891905654,0.13478407258699238,0.3988723247332433
2,13,cosine,0.4819428606295877,0.9052163730132766,0.6290014263943946,0.06216318902578485,0.10382572995588403,0.35081391365207637
2,13,euclidean,0.4819428606295877,0.9052163730132766,0.6290014263943946,0.06216318902578485,0.10382572995588403,0.35081391365207637
3,3,cosine,0.4535044868844112,0.4490122656457825,0.4512471963886014,0.11026095537634974,0.1742746500049819,0.6460688457769233
3,3,euclidean,0.4535044868844112,0.4490122656457825,0.4512471963886014,0.11026095537634974,0.1742746500049819,0.6460688457769233
3,5,cosine,0.45706039128553116,0.6331704140753065,0.5308914695579503,0.08536881777383916,0.19292256707306304,0.5613921300024358
3,5,euclidean,0.45706039128553116,0.6331704140753065,0.5308914695579503,0.08536881777383916,0.19292256707306304,0.5613921300024358
3,7,cosine,0.46989810234125934,0.7688893063962621,0.5833117505679202,0.070187441882926,0.19012846244689663,0.4923519967797284
3,7,euclidean,0.46989810234125934,0.7688893063962621,0.5833117505679202,0.070187441882926,0.19012846244689663,0.4923519967797284
3,9,cosine,0.47565619016824295,0.8434369730284671,0.6082754856609455,0.06393898859240019,0.16330122968699975,0.4724075308558207
3,9,euclidean,0.47565619016824295,0.8434369730284671,0.6082754856609455,0.06393898859240019,0.16330122968699975,0.4724075308558207
3,11,cosine,0.47821005697065233,0.880749163515656,0.6198612898935325,0.0635916891905654,0.13478407258699238,0.3988723247332433
3,11,euclidean,0.47821005697065233,0.880749163515656,0.6198612898935325,0.0635916891905654,0.13478407258699238,0.3988723247332433
3,13,cosine,0.4819428606295877,0.9052163730132766,0.6290014263943946,0.06216318902578485,0.10382572995588403,0.35081391365207637
3,13,euclidean,0.4819428606295877,0.9052163730132766,0.6290014263943946,0.06216318902578485,0.10382572995588403,0.35081391365207637
4,3,cosine,0.45574797044525917,0.5440254409339669,0.4959893666990041,0.09581484985173702,0.2006296188988057,0.5895818614645544
4,3,euclidean,0.45574797044525917,0.5440254409339669,0.4959893666990041,0.09581484985173702,0.2006296188988057,0.5895818614645544
4,5,cosine,0.46431143696062926,0.7191445310828164,0.5642914305658093,0.08228169488872057,0.19646988255388406,0.5722856155867718
4,5,euclidean,0.46431143696062926,0.7191445310828164,0.5642914305658093,0.08228169488872057,0.19646988255388406,0.5722856155867718
4,7,cosine,0.47541748569743425,0.8249785264903209,0.6032150408682954,0.06997582809768695,0.17414389630166408,0.502327922837068
4,7,euclidean,0.47541748569743425,0.8249785264903209,0.6032150408682954,0.06997582809768695,0.17414389630166408,0.502327922837068
4,9,cosine,0.4778278953775278,0.875308380006204,0.6181886756469793,0.061323600259710356,0.141402216298777,0.476989551516726
4,9,euclidean,0.4778278953775278,0.875308380006204,0.6181886756469793,0.061323600259710356,0.141402216298777,0.476989551516726
4,11,cosine,0.4804944186987531,0.9031469473187242,0.6272681319155968,0.06174932921065391,0.11559827204558275,0.4046478344596283
4,11,euclidean,0.4804944186987531,0.9031469473187242,0.6272681319155968,0.06174932921065391,0.11559827204558275,0.4046478344596283
4,13,cosine,0.4834964717319767,0.9207524212882539,0.6340479230488263,0.06084765972402055,0.08831218333022228,0.3506905171136483
4,13,euclidean,0.4834964717319767,0.9207524212882539,0.6340479230488263,0.06084765972402055,0.08831218333022228,0.3506905171136483
6,3,cosine,0.462455511979245,0.6925605029683366,0.5545869803222786,0.0811229789954198,0.20934253508163367,0.5920146295211012
6,3,euclidean,0.462455511979245,0.6925605029683366,0.5545869803222786,0.0811229789954198,0.20934253508163367,0.5920146295211012
6,5,cosine,0.4741265371393131,0.8305245729812257,0.6036460425964976,0.07047761599992942,0.16693209048112004,0.5503204553469854
6,5,euclidean,0.4741265371393131,0.8305245729812257,0.6036460425964976,0.07047761599992942,0.16693209048112004,0.5503204553469854
6,7,cosine,0.479483494575584,0.8914503478049398,0.6235687161444965,0.062114478880553575,0.1274601825118432,0.5074603872785569
6,7,euclidean,0.479483494575584,0.8914503478049398,0.6235687161444965,0.062114478880553575,0.1274601825118432,0.5074603872785569
6,9,cosine,0.48211355433309067,0.9185739105221505,0.6323422519744601,0.058904309038769545,0.10239992818312274,0.4835282682397646
6,9,euclidean,0.48211355433309067,0.9185739105221505,0.6323422519744601,0.058904309038769545,0.10239992818312274,0.4835282682397646
